iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum
106,0.011184,0.998245,1.000000,65528.289062,0.015844027,0.12543873,0.8587172,0.001370,0.853673,0.002889,0.000462,-0.000020,0.006678
107,0.011180,0.998232,1.000000,65528.328125,0.015851315,0.12543784,0.8587108,0.001389,0.841842,0.003189,0.000455,-0.000012,0.006707
108,0.011177,0.998218,1.000000,65528.375000,0.015858827,0.12543692,0.85870427,0.001370,0.853941,0.003766,0.000456,-0.000005,0.006737
109,0.011173,0.998204,1.000000,65528.390625,0.015866553,0.12543596,0.8586975,0.001352,0.864405,0.007789,0.000452,0.000003,0.006775
110,0.011169,0.998191,1.000000,65528.429688,0.015874462,0.125435,0.8586905,0.001347,0.867121,0.003547,0.000459,0.000011,0.006823
111,0.011165,0.998176,1.000000,65528.453125,0.015882524,0.12543401,0.85868347,0.001362,0.858660,0.002878,0.000443,0.000019,0.006872
112,0.011162,0.998163,1.000000,65528.468750,0.015890708,0.12543301,0.85867625,0.001374,0.851084,0.002557,0.000454,0.000027,0.006922
113,0.011158,0.998149,1.000000,65528.484375,0.015898991,0.125432,0.85866904,0.001346,0.867910,0.006535,0.000465,0.000036,0.006972
114,0.011155,0.998134,1.000000,65528.492188,0.015907355,0.12543097,0.85866165,0.001333,0.875431,0.003380,0.000452,0.000044,0.007023
115,0.011152,0.998120,1.000000,65528.515625,0.01591579,0.12542994,0.85865426,0.001354,0.863355,0.002254,0.000456,0.000053,0.007073
116,0.011149,0.998106,1.000000,65528.515625,0.015924294,0.12542892,0.85864675,0.001354,0.863169,0.004757,0.000450,0.000061,0.007123
117,0.011146,0.998092,1.000000,65528.523438,0.01593286,0.12542787,0.85863924,0.001340,0.871256,0.008498,0.000451,0.000070,0.007173
118,0.011143,0.998078,1.000000,65528.515625,0.015941504,0.12542681,0.85863173,0.001349,0.866200,0.003802,0.000449,0.000079,0.007223
119,0.011140,0.998064,1.000000,65528.500000,0.01595023,0.12542577,0.858624,0.001335,0.874476,0.003926,0.000446,0.000088,0.007273
120,0.011137,0.998050,1.000000,65528.484375,0.015959054,0.12542471,0.85861623,0.001326,0.879333,0.002691,0.000451,0.000097,0.007324
121,0.011134,0.998035,1.000000,65528.468750,0.015967978,0.12542363,0.85860837,0.001330,0.876940,0.003107,0.000453,0.000106,0.007374
122,0.011131,0.998021,1.000000,65528.453125,0.015977012,0.12542257,0.85860044,0.001351,0.865282,0.003920,0.000453,0.000115,0.007425
123,0.011129,0.998007,1.000000,65528.421875,0.015986154,0.12542145,0.85859233,0.001371,0.853226,0.004990,0.000456,0.000124,0.007476
124,0.011126,0.997993,1.000000,65528.398438,0.015995406,0.12542038,0.8585842,0.001359,0.860360,0.004433,0.000450,0.000134,0.007528
125,0.011124,0.997978,1.000000,65528.375000,0.016004754,0.12541927,0.858576,0.001331,0.876439,0.002634,0.000454,0.000143,0.007580
126,0.011122,0.997964,1.000000,65528.320312,0.016014194,0.12541814,0.85856766,0.001335,0.874024,0.002693,0.000450,0.000153,0.007632
127,0.011119,0.997950,1.000000,65528.312500,0.016023736,0.12541702,0.8585592,0.001329,0.877651,0.002643,0.000457,0.000163,0.007685
128,0.011117,0.997935,1.000000,65528.250000,0.01603337,0.12541588,0.8585507,0.001323,0.881193,0.003597,0.000458,0.000172,0.007738
129,0.011115,0.997921,1.000000,65528.203125,0.016043099,0.12541474,0.8585422,0.001332,0.876050,0.004863,0.000453,0.000182,0.007791
130,0.011113,0.997906,1.000000,65528.171875,0.016052915,0.1254136,0.8585335,0.001351,0.865155,0.004242,0.000464,0.000192,0.007845
131,0.011110,0.997892,1.000000,65528.132812,0.016062824,0.12541242,0.85852474,0.001388,0.842381,0.002808,0.000459,0.000202,0.007899
132,0.011108,0.997877,1.000000,65528.085938,0.01607283,0.12541126,0.8585159,0.001393,0.839320,0.004243,0.000458,0.000212,0.007953
133,0.011106,0.997862,1.000000,65528.046875,0.016082937,0.12541007,0.858507,0.001421,0.821853,0.006386,0.000457,0.000223,0.008008
134,0.011104,0.997848,1.000000,65527.992188,0.016093152,0.12540887,0.8584979,0.001416,0.824592,0.002265,0.000451,0.000233,0.008063
135,0.011102,0.997833,1.000000,65527.953125,0.016103482,0.12540768,0.85848886,0.001423,0.820038,0.003472,0.000449,0.000244,0.008119
136,0.011100,0.997818,1.000000,65527.906250,0.016113928,0.12540646,0.8584796,0.001433,0.813683,0.006354,0.000449,0.000254,0.008175
137,0.011098,0.997804,1.000000,65527.859375,0.016124496,0.1254052,0.85847026,0.001438,0.810123,0.004211,0.000448,0.000265,0.008232
138,0.011097,0.997789,1.000000,65527.812500,0.016135199,0.12540397,0.85846084,0.001477,0.783642,0.004944,0.000436,0.000276,0.008289
139,0.011095,0.997774,1.000000,65527.765625,0.016146036,0.1254027,0.85845125,0.001458,0.796865,0.002748,0.000447,0.000287,0.008347
140,0.011093,0.997759,1.000000,65527.718750,0.016157018,0.12540142,0.85844153,0.001429,0.816348,0.004707,0.000431,0.000298,0.008405
141,0.011091,0.997744,1.000000,65527.687500,0.01616816,0.12540014,0.8584317,0.001428,0.816672,0.002352,0.000439,0.000309,0.008464
142,0.011089,0.997729,1.000000,65527.640625,0.016179467,0.12539883,0.8584217,0.001439,0.809464,0.002713,0.000450,0.000321,0.008524
143,0.011088,0.997714,1.000000,65527.578125,0.016190948,0.12539749,0.85841155,0.001429,0.816227,0.003491,0.000456,0.000333,0.008585
144,0.011086,0.997699,1.000000,65527.539062,0.016202604,0.12539613,0.8584013,0.001413,0.826857,0.003998,0.000460,0.000344,0.008646
