iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
289,0.010977,0.273034,0.037454,0.064791,0.930121,0.017503,0.052376
290,0.010976,0.272449,0.037521,0.064825,0.929731,0.017633,0.052635
291,0.010976,0.271808,0.037577,0.064726,0.929525,0.017766,0.052710
292,0.010976,0.271135,0.037517,0.064754,0.929209,0.017791,0.053000
293,0.010975,0.270518,0.037437,0.064798,0.928913,0.017790,0.053297
294,0.010975,0.269935,0.037453,0.064732,0.928713,0.017879,0.053408
295,0.010975,0.269324,0.037466,0.064733,0.928400,0.017966,0.053634
296,0.010974,0.268631,0.037465,0.064764,0.928010,0.018051,0.053939
297,0.010974,0.268208,0.037409,0.064698,0.927952,0.018053,0.053996
298,0.010974,0.267581,0.037381,0.064748,0.927585,0.018102,0.054313
299,0.010973,0.266912,0.037380,0.064771,0.927214,0.018185,0.054601
300,0.010973,0.266340,0.037270,0.064756,0.927046,0.018153,0.054802
301,0.010973,0.265843,0.037390,0.064762,0.926675,0.018331,0.054994
302,0.010973,0.265206,0.037394,0.064696,0.926450,0.018418,0.055132
303,0.010972,0.264835,0.037312,0.064722,0.926291,0.018386,0.055323
304,0.010972,0.264115,0.037331,0.064739,0.925874,0.018497,0.055629
305,0.010972,0.263691,0.037263,0.064714,0.925756,0.018487,0.055757
306,0.010971,0.263058,0.037332,0.064779,0.925257,0.018635,0.056108
307,0.010971,0.262462,0.037326,0.064795,0.924923,0.018707,0.056371
308,0.010971,0.261957,0.037272,0.064804,0.924690,0.018720,0.056590
309,0.010971,0.261348,0.037251,0.064821,0.924358,0.018779,0.056863
310,0.010970,0.260903,0.037220,0.064724,0.924307,0.018811,0.056883
311,0.010970,0.260292,0.037218,0.064815,0.923830,0.018887,0.057283
312,0.010970,0.259928,0.037247,0.064844,0.923558,0.018965,0.057477
313,0.010969,0.259285,0.037166,0.064849,0.923275,0.018970,0.057755
314,0.010969,0.258842,0.037156,0.064777,0.923162,0.019022,0.057817
315,0.010969,0.258319,0.037228,0.064844,0.922695,0.019164,0.058141
316,0.010969,0.257742,0.037249,0.064821,0.922394,0.019265,0.058341
317,0.010968,0.257174,0.037240,0.064913,0.921933,0.019331,0.058736
318,0.010968,0.256519,0.037193,0.064800,0.921799,0.019378,0.058822
319,0.010968,0.256050,0.037330,0.064799,0.921404,0.019585,0.059011
320,0.010968,0.255704,0.037238,0.064889,0.921146,0.019535,0.059319
321,0.010967,0.255189,0.037157,0.064936,0.920851,0.019523,0.059626
322,0.010967,0.254762,0.037196,0.064895,0.920638,0.019625,0.059736
323,0.010967,0.254217,0.037186,0.064916,0.920299,0.019692,0.060009
324,0.010967,0.253786,0.037159,0.064993,0.919943,0.019722,0.060334
325,0.010966,0.253318,0.037135,0.064956,0.919758,0.019766,0.060476
326,0.010966,0.252702,0.037131,0.065048,0.919245,0.019846,0.060909
327,0.010966,0.252345,0.037117,0.065024,0.919090,0.019884,0.061025
328,0.010965,0.251666,0.037160,0.065026,0.918642,0.020028,0.061330
329,0.010965,0.251122,0.037236,0.065016,0.918260,0.020189,0.061551
330,0.010965,0.250664,0.037119,0.065001,0.918127,0.020134,0.061739
331,0.010965,0.250229,0.037260,0.065030,0.917675,0.020347,0.061978
332,0.010964,0.249745,0.037112,0.065104,0.917400,0.020258,0.062342
333,0.010964,0.249200,0.037119,0.065117,0.917039,0.020346,0.062615
334,0.010964,0.248687,0.037177,0.065063,0.916761,0.020488,0.062752
